Year,County,Latitude,Longitude,Industry Sector,Total Release
2011,FOND DU LAC,43.759661,-88.468509,Machinery,0.0
2011,SHEBOYGAN,43.7375,-87.763889,Fabricated Metals,49.0
2011,WOOD,44.4289,-89.7817,Paper,3231.3
2011,ASHLAND,46.61119,-90.83818000000001,Machinery,1.0
2011,SHEBOYGAN,43.72639,-87.80724000000001,Fabricated Metals,10.0
2011,WASHINGTON,43.33983,-88.4179,Primary Metals,2.07726
2011,WINNEBAGO,44.16243,-88.47349,Primary Metals,1020825.0
2011,WOOD,44.403999999999996,-89.8255,Paper,4300.0
2011,WOOD,44.403999999999996,-89.8255,Paper,3900.0
2011,MILWAUKEE,42.99264,-87.91660999999999,Chemical Wholesalers,0.0
2011,MANITOWOC,44.0822,-87.65784000000001,Electric Utilities,12.63
2011,MANITOWOC,44.0774,-87.7273,Chemicals,5176.0
2011,DANE,43.0777,-89.1976,Chemicals,1914.0
2011,WAUKESHA,43.123611,-88.531362,Plastics and Rubber,0.0
2011,WAUKESHA,43.123611,-88.531362,Plastics and Rubber,0.0
2011,WAUKESHA,43.01982,-88.22745,Primary Metals,23410.0
2011,MILWAUKEE,43.01064,-88.02519000000001,Food,0.0
2011,WAUKESHA,42.99738,-88.2432,Electrical Equipment,105.0
2011,WAUPACA,44.628190000000004,-88.74139,Fabricated Metals,2711.0
2011,MARATHON,44.86202,-89.63016999999999,Fabricated Metals,1.33
2011,DANE,43.11003,-89.35533000000001,Food,4893.0
2011,BROWN,44.46431,-88.07845999999999,Fabricated Metals,2498.5059
2011,WINNEBAGO,44.0395,-88.53064,Fabricated Metals,0.0
2011,WALWORTH,42.58657,-88.40625,Fabricated Metals,0.135
2011,BROWN,44.328140999999995,-88.185563,Fabricated Metals,61.1043
2011,MARINETTE,45.09713,-87.61406,Chemicals,2354.0
2011,BROWN,44.3618,-87.8179,Food,0.0
2011,OUTAGAMIE,44.269643,-88.308421,Paper,1450.0
2011,CLARK,44.9456,-90.32945,Fabricated Metals,0.0
2011,ROCK,42.670059,-89.037076,Chemicals,0.0
2011,WASHINGTON,43.38799,-88.17214,Fabricated Metals,75.0
2011,EAU CLAIRE,44.81617,-91.49868000000001,Plastics and Rubber,4126.21
2011,SHEBOYGAN,43.7375,-87.763889,Fabricated Metals,160576.0
2011,WAUKESHA,43.0499,-88.2061,Machinery,5.0
2011,WAUKESHA,43.07861,-88.2477,Primary Metals,412.0
2011,MILWAUKEE,42.90456,-87.9272,Computers and Electronic Products,352.0
2011,MILWAUKEE,43.164444,-88.001944,Chemicals,0.0
2011,DODGE,43.632090000000005,-88.73406999999999,Fabricated Metals,333.4
2011,WINNEBAGO,44.19793,-88.45321,Paper,76.975
2011,RACINE,42.68164,-88.0754,Hazardous Waste,469.906
2011,MARINETTE,45.08663,-87.64166999999999,Transportation Equipment,915.87
2011,FOND DU LAC,43.78245,-88.45053,Machinery,35436.0
2011,ROCK,42.75991,-88.91711,Chemicals,0.0
2011,SHEBOYGAN,43.748709999999996,-87.97999,Food,0.0
2011,DANE,43.03174,-89.30134,Petroleum Bulk Terminals,6.0
2011,COLUMBIA,43.5706,-89.0613,Chemicals,842.92
2011,WAUKESHA,43.01723,-88.21338,Fabricated Metals,10.0
2011,MILWAUKEE,43.0297,-88.0604,Chemicals,0.0
2011,JEFFERSON,42.920297999999995,-88.84640999999999,Food,0.0
2011,DANE,43.05593,-89.48149000000001,Computers and Electronic Products,0.382
2011,WAUKESHA,42.99066,-88.272,Electrical Equipment,0.0
2011,RACINE,42.71464,-87.88606,Chemicals,0.0
2011,GRANT,43.184740000000005,-90.43271,Fabricated Metals,2.88
2011,OUTAGAMIE,44.2829,-88.2518,Paper,170515.0
2011,FOND DU LAC,43.84957,-88.83027,Machinery,1687.81
2011,MILWAUKEE,43.01397,-87.91009,Fabricated Metals,0.0
2011,WAUKESHA,43.14825,-88.17057,Primary Metals,3.75
2011,GREEN,42.59557,-89.78676,Primary Metals,2267.0
2011,MILWAUKEE,42.8457,-87.8294,Electric Utilities,29253.0
2011,WAUKESHA,43.1684,-88.0727,Printing,2710.0
2011,DODGE,43.45465,-88.65404000000001,Computers and Electronic Products,0.0
2011,LA CROSSE,43.83365,-91.25098,Petroleum Bulk Terminals,0.0
2011,DODGE,43.4896,-88.54999000000001,Fabricated Metals,5.0
2011,MANITOWOC,44.10863,-87.68205,Transportation Equipment,85.006236
2011,OZAUKEE,43.32678,-87.93248,Chemicals,10.0
2011,PRICE,45.690979999999996,-90.39749,Wood Products,26630.0
2011,JUNEAU BOROUGH,43.9269,-90.2617,Other,0.0
2011,DODGE,43.21528,-88.71706999999999,Primary Metals,7.31
2011,LINCOLN,45.19243,-89.71464,Fabricated Metals,11434.0
2011,ROCK,42.7787,-89.29533,Primary Metals,221.0
