Year,County,Latitude,Longitude,Industry Sector,Total Release
2016,ONEIDA,45.6391,-89.421,Paper,10.68
2016,FOND DU LAC,43.759661,-88.468509,Machinery,5292.0
2016,EAU CLAIRE,44.756796,-91.45635,Hazardous Waste,750.0
2016,LINCOLN,45.450849,-89.740303,Paper,171930.0
2016,MILWAUKEE,43.0661,-87.95401,Fabricated Metals,752.0
2016,KENOSHA,42.595669,-87.888603,Fabricated Metals,1446.0
2016,WAUKESHA,43.183583,-88.09222199999999,Chemicals,549.0
2016,SHEBOYGAN,43.7375,-87.763889,Fabricated Metals,1277.0
2016,SHEBOYGAN,43.7375,-87.763889,Fabricated Metals,16.0
2016,MARATHON,44.754528,-90.296486,Food,508.0
2016,SHEBOYGAN,43.760490000000004,-87.73952,Chemicals,0.0
2016,RACINE,42.697590000000005,-87.87378000000001,Primary Metals,3.855
2016,MARATHON,44.858039,-89.644665,Electric Utilities,19559.0
2016,EAU CLAIRE,44.84053,-91.54299999999999,Computers and Electronic Products,0.0
2016,KENOSHA,42.532222,-87.906111,Chemicals,9297.0
2016,MARINETTE,45.09713,-87.61406,Chemicals,190.75
2016,MILWAUKEE,43.03063,-88.05946,Chemical Wholesalers,0.0
2016,MARATHON,44.91547,-89.598962,Machinery,10.0
2016,DANE,43.203540000000004,-89.20409000000001,Primary Metals,24.84
2016,DANE,43.18842,-89.44718,Fabricated Metals,154.0
2016,WASHINGTON,43.208756,-88.073337,Chemicals,8281.0
2016,GRANT,43.188798,-90.431567,Fabricated Metals,49.42
2016,CALUMET,44.18241,-88.07597,Machinery,34.06
2016,MANITOWOC,44.07005,-87.68757,Machinery,25.0
2016,WAUKESHA,43.04954,-88.25589000000001,Computers and Electronic Products,1.1
2016,JUNEAU BOROUGH,43.74361,-90.272,Fabricated Metals,0.0
2016,MILWAUKEE,43.04985,-87.91625,Fabricated Metals,148.0
2016,OUTAGAMIE,44.256389,-88.43055600000001,Machinery,1.541
2016,MILWAUKEE,42.90418,-87.84888000000001,Miscellaneous Manufacturing,6.85
2016,PORTAGE,44.593193,-89.717087,Petroleum Bulk Terminals,239.0
2016,MARINETTE,45.0711,-87.66209,Transportation Equipment,0.088977
2016,DANE,43.26891,-89.714624,Nonmetallic Mineral Product,0.0
2016,FOND DU LAC,43.76461,-88.46381,Transportation Equipment,5.0
2016,CALUMET,43.917190000000005,-88.04176,Food,4295.0
2016,MILWAUKEE,43.187165,-88.043929,Petroleum Bulk Terminals,0.9003
2016,BROWN,44.51603,-88.0421,Fabricated Metals,0.0
2016,MILWAUKEE,42.8457,-87.8294,Electric Utilities,4731.0
2016,KEWAUNEE,44.55172,-87.70324000000001,Fabricated Metals,295.0
2016,KENOSHA,42.57428,-87.850032,Primary Metals,0.0
2016,MILWAUKEE,42.96826,-87.89158,Chemicals,11905.0
2016,WAUKESHA,43.009840000000004,-88.20845,Primary Metals,859.54
2016,WASHINGTON,43.322577,-88.402714,Fabricated Metals,5.0
2016,JUNEAU BOROUGH,43.878501,-90.168775,Machinery,0.0
2016,WAUKESHA,42.98383,-88.2414,Primary Metals,103.41
2016,SHEBOYGAN,43.67406,-87.78147,Chemicals,0.0
2016,LA CROSSE,43.8291,-91.2597,Electric Utilities,705.0
2016,WAUPACA,44.619690000000006,-88.75220999999999,Transportation Equipment,10.0
2016,SHEBOYGAN,43.715592,-87.70775,Electric Utilities,1674.129
2016,SHEBOYGAN,43.715592,-87.70775,Electric Utilities,65.222717
2016,SHAWANO,44.77468,-88.57941,Primary Metals,0.0
2016,DANE,43.177929999999996,-89.2532,Plastics and Rubber,21535.7
2016,DUNN,44.899229999999996,-91.8837,Plastics and Rubber,22000.0
2016,DUNN,44.899229999999996,-91.8837,Plastics and Rubber,627.76
2016,WINNEBAGO,44.180690000000006,-88.46497,Food,10.0
2016,WALWORTH,42.656000000000006,-88.53025,Fabricated Metals,2.4
2016,MARATHON,44.74893,-90.28927,Machinery,5.0
2016,FOND DU LAC,43.759661,-88.468509,Machinery,22238.0
2016,OUTAGAMIE,44.373832,-88.739211,Furniture,43.0
2016,SHAWANO,44.73465,-88.447623,Furniture,0.0
2016,LINCOLN,45.450849,-89.740303,Paper,6245.0
2016,WALWORTH,42.602759999999996,-88.71806,Electrical Equipment,0.0
2016,MILWAUKEE,43.017720000000004,-87.99316,Primary Metals,8526.0
2016,WALWORTH,42.5358,-88.59964000000001,Fabricated Metals,0.0
2016,WAUKESHA,42.99345,-88.11922,Fabricated Metals,53.34
2016,SHEBOYGAN,43.726944,-87.738056,Chemicals,3549.16
2016,SHEBOYGAN,43.7375,-87.763889,Fabricated Metals,23.0
2016,MILWAUKEE,43.164444,-88.001944,Chemicals,0.0
2016,PRICE,45.69961,-90.41198,Fabricated Metals,16923.0
2016,RACINE,42.70411,-87.83699,Electrical Equipment,18.8
2016,JUNEAU BOROUGH,43.99187,-90.07219,Chemicals,1104.8
2016,KENOSHA,42.532222,-87.906111,Chemicals,8706.0
2016,WAUKESHA,43.123611,-88.531362,Plastics and Rubber,24.0
2016,WAUKESHA,43.123611,-88.531362,Plastics and Rubber,61.0
2016,MILWAUKEE,43.01064,-88.02519000000001,Food,621.7
2016,WOOD,44.3381,-89.8871,Chemicals,8.86
2016,MONROE,43.98633,-90.5099,Printing,5.0
2016,MARATHON,44.787657,-89.671823,Fabricated Metals,1090.0
2016,BROWN,44.483909999999995,-87.99586,Furniture,23.6
2016,TAYLOR,45.129444,-90.343056,Food,33905.0
2016,BROWN,44.4925,-88.0323,Paper,8590.0
2016,WAUKESHA,43.010020000000004,-88.20734,Electrical Equipment,39.57
2016,PORTAGE,44.593193,-89.717087,Petroleum Bulk Terminals,182.0
2016,MARATHON,44.958259000000005,-89.63095200000001,Chemicals,5.4
